time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	
ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
1.3556	NaN	NaN	0.94141	NaN	NaN	1.5434	NaN	10.945	1.4545	NaN	9.842	1.398	NaN	NaN	1.5556	0.00034165	0.00050191	0.88889	4.2293e-14	NaN	0.94545	3.4134e-14	NaN	1.2	0.0021106	0.0031008	1.5556	NaN	9.7933e-05	1.396	0.00016342	0.00024008	1.2465	0.00073781	0.0010839	0.80202	NaN	0.00066222	1.4808	NaN	0.00055241	0.88485	NaN	0.049011	1.2848	0.002619	0.0038476	1.5879	0.0021455	0.003152	0.99394	NaN	0.0081707	1.5495	NaN	11.75	0.8	NaN	NaN	0.9899	7.1774e-14	NaN	1.2687	0.0011914	0.0017502	0.89091	2.286e-14	NaN	1.5152	2.2204e-14	NaN	1.4404	NaN	0.0002864	0.97374	NaN	NaN	1.5475	NaN	NaN	1.2	0.00082993	0.0012192	1.2	NaN	NaN	1.5596	1.0276e-12	NaN	1.5374	2.2971e-14	NaN	1.4141	NaN	9.3887	1.402	0.00048161	0.00070753	1.3374	0.0010654	0.0015651	0.92929	NaN	11.552
1.7556	NaN	NaN	1.7414	0.00032446	0.00047667	1.9434	0.0013304	0.0019545	1.8545	0.00063648	0.00093509	1.398	NaN	NaN	1.5556	0.00034165	0.00050191	1.6889	2.2369e-14	NaN	1.7455	0.00032113	0.00047178	1.6	NaN	0.38993	1.9556	0.0026637	0.0039132	1.396	0.00016342	0.00024008	1.6465	NaN	5.6384e-05	1.602	0.0020079	0.0029496	1.8808	0.01844	0.02709	1.6848	0.00037384	0.0005492	1.6848	NaN	7.5957e-05	1.5879	0.0021455	0.003152	1.7939	NaN	NaN	1.9495	0.00066731	0.00098035	1.6	0.00049006	0.00071994	1.7899	0.00010888	0.00015996	1.6687	NaN	0.00021693	1.6909	0.00058395	0.00085784	1.9152	2.2204e-14	NaN	1.8404	0.0015363	0.002257	1.7737	0.0015961	0.0023448	1.9475	NaN	NaN	1.6	2.2356e-14	NaN	1.6	NaN	NaN	1.9596	2.2767e-14	NaN	1.9374	NaN	NaN	1.8141	0.00080748	0.0011863	1.402	0.00048161	0.00070753	1.7374	5.4711e-14	NaN	1.7293	2.2205e-14	NaN
2.1556	0.0017828	0.002619	1.7414	0.00032446	0.00047667	1.9434	0.0013304	0.0019545	1.8545	0.00063648	0.00093509	1.798	NaN	8.3018	1.9556	NaN	9.5147	1.6889	2.2369e-14	NaN	1.7455	0.00032113	0.00047178	2	0.0023653	0.0034749	1.9556	0.0026637	0.0039132	1.796	NaN	8.4993	2.0465	0.00069777	0.0010251	1.602	0.0020079	0.0029496	1.8808	0.01844	0.02709	1.6848	0.00037384	0.0005492	2.0848	0.0032411	0.0047616	1.9879	NaN	8.0777e-05	1.7939	NaN	NaN	1.9495	0.00066731	0.00098035	1.6	0.00049006	0.00071994	1.7899	0.00010888	0.00015996	2.0687	0.0023668	0.003477	1.6909	0.00058395	0.00085784	1.9152	2.2204e-14	NaN	1.8404	0.0015363	0.002257	1.7737	0.0015961	0.0023448	1.9475	NaN	NaN	2	0.0002885	0.00042383	2	0.00071001	0.0010431	1.9596	2.2767e-14	NaN	1.9374	NaN	NaN	1.8141	0.00080748	0.0011863	1.802	NaN	0.0025055	2.1374	2.8577e-14	NaN	1.7293	2.2205e-14	NaN
2.1556	0.0017828	0.002619	1.7414	0.00032446	0.00047667	1.9434	0.0013304	0.0019545	2.2545	NaN	7.9415	2.198	2.2944e-14	NaN	2.3556	0.0014572	0.0021408	1.6889	2.2369e-14	NaN	1.7455	0.00032113	0.00047178	2	0.0023653	0.0034749	1.9556	0.0026637	0.0039132	2.196	0.00020067	0.00029481	2.0465	0.00069777	0.0010251	2.002	NaN	5.8506e-05	2.2808	NaN	0.0010079	1.6848	0.00037384	0.0005492	2.0848	0.0032411	0.0047616	2.3879	0.00059371	0.00087222	1.7939	NaN	NaN	1.9495	0.00066731	0.00098035	2	NaN	0.00021589	1.7899	0.00010888	0.00015996	2.0687	0.0023668	0.003477	1.6909	0.00058395	0.00085784	2.3152	NaN	NaN	2.2404	NaN	3.4273e-05	1.7737	0.0015961	0.0023448	1.9475	NaN	NaN	2	0.0002885	0.00042383	2	0.00071001	0.0010431	1.9596	2.2767e-14	NaN	1.9374	NaN	NaN	2.2141	2.2334e-14	NaN	2.202	0.00083007	0.0012194	2.1374	2.8577e-14	NaN	1.7293	2.2205e-14	NaN
2.5556	1.0568e-11	NaN	2.1414	NaN	NaN	2.3434	NaN	0.0030854	2.6545	0.00043294	0.00063602	2.598	4.7213e-13	NaN	2.3556	0.0014572	0.0021408	2.0889	6.1905e-13	NaN	2.1455	NaN	0.0023913	2.4	NaN	0.32742	2.3556	NaN	6.6849e-05	2.596	NaN	NaN	2.4465	NaN	NaN	2.402	0.0025321	0.0037198	2.6808	0.021247	0.031216	2.0848	NaN	0.049722	2.4848	NaN	7.4122e-05	2.3879	0.00059371	0.00087222	2.1939	2.2204e-14	NaN	2.3495	NaN	12.918	2.4	0.0001473	0.00021641	2.1899	NaN	10.852	2.4687	NaN	NaN	2.0909	NaN	9.2462	2.7152	0.0002756	0.00040487	2.6404	0.00072274	0.0010617	2.1737	1.1962e-12	NaN	2.3475	2.2204e-14	NaN	2.4	NaN	9.3045	2.4	2.2204e-14	NaN	2.3596	6.5532e-14	NaN	2.3374	2.2482e-14	NaN	2.6141	0.0012558	0.001845	2.602	NaN	7.1114e-05	2.5374	NaN	0.036962	2.1293	NaN	0.027254
2.9556	NaN	NaN	2.5414	2.2205e-14	NaN	2.7434	0.0029883	0.0043902	3.0545	NaN	16.507	2.998	2.2584e-14	NaN	2.7556	NaN	9.2811	2.4889	0.00036492	0.00053611	2.5455	0.00018087	0.00026573	2.8	0.0039362	0.0057825	2.7556	0.0018246	0.0026804	2.996	NaN	NaN	2.8465	0.00050539	0.00074251	2.402	0.0025321	0.0037198	3.0808	NaN	0.001294	2.4848	0.0012569	0.0018465	2.8848	0.0020385	0.0029948	2.7879	NaN	0.00098563	2.5939	0.00022064	0.00032414	2.7495	0.00091462	0.0013438	2.4	0.0001473	0.00021641	2.5899	2.8148e-05	4.1354e-05	2.8687	0.0027103	0.0039818	2.4909	2.5425e-14	NaN	2.7152	0.0002756	0.00040487	3.0404	6.1259e-13	NaN	2.5737	0.0020316	0.0029844	2.7475	0.00045534	0.00066891	2.8	NaN	NaN	2.8	NaN	NaN	2.7596	0.00025087	0.00036856	2.7374	2.2204e-14	NaN	3.0141	NaN	0.00093681	3.002	0.0011712	0.0017206	2.9374	2.2204e-14	NaN	2.5293	0.00033005	0.00048489
3.3556	NaN	1.5797	2.9414	5.8526e-13	NaN	3.1434	NaN	0.080795	3.4545	0.0016563	0.0024332	3.398	NaN	NaN	3.5556	NaN	9.6385	2.8889	NaN	NaN	2.9455	NaN	10.585	3.2	NaN	0.016703	3.1556	NaN	0.00054004	3.396	NaN	7.9021	3.2465	NaN	NaN	2.802	NaN	0.00045187	3.4808	0.033555	0.049293	2.8848	NaN	0.00095699	3.2848	NaN	0.0014806	3.1879	0.001281	0.0018818	2.9939	NaN	8.8247	3.1495	NaN	4.6094e-05	2.8	NaN	NaN	2.9899	NaN	12.035	3.2687	NaN	3.8345e-05	2.8909	2.8838e-14	NaN	3.1152	2.2204e-14	NaN	3.4404	0.001144	0.0016806	2.9737	NaN	0.0013761	3.1475	NaN	7.6761e-05	3.2	NaN	11.706	3.2	NaN	NaN	3.1596	3.067e-13	NaN	3.1374	2.2337e-14	NaN	3.4141	0.0014095	0.0020707	3.402	NaN	0.00066433	3.3374	NaN	9.8719	2.9293	NaN	0.24385
3.7556	0.0012821	0.0018834	3.3414	3.1976e-05	4.6976e-05	3.9434	NaN	0.12456	3.8545	NaN	0.00033603	3.798	NaN	NaN	3.9556	0.0011305	0.0016608	3.2889	2.2204e-14	NaN	3.3455	0.00066739	0.00098048	4	NaN	0.0075121	3.9556	NaN	0.0021741	3.796	0.00011738	0.00017244	4.0465	NaN	13.074	3.202	0.0050242	0.0073807	3.8808	NaN	0.0024892	3.2848	0.0037202	0.0054652	4.0848	NaN	0.0091581	3.5879	NaN	9.2164e-05	3.3939	0.00045905	0.00067435	3.9495	NaN	4.5095e-05	3.2	0.00010048	0.00014762	3.3899	0.00031238	0.00045893	4.0687	NaN	6.2104e-05	3.2909	0.00014281	0.0002098	3.9152	NaN	22.617	3.8404	NaN	0.00011068	3.3737	0.0025698	0.0037752	3.9475	NaN	NaN	4	NaN	1.6679e-05	4	2.2204e-14	NaN	3.9596	2.2204e-14	NaN	3.9374	NaN	0.0026178	3.8141	NaN	0.00089893	3.802	0.0024355	0.003578	3.7374	0.00019405	0.00028508	3.3293	3.1285e-05	4.5961e-05
4.1556	NaN	NaN	3.7414	2.2592e-14	NaN	4.7434	NaN	11.408	4.6545	2.2204e-14	NaN	4.198	2.8655e-13	NaN	4.3556	NaN	9.5655e-05	3.6889	NaN	NaN	3.7455	NaN	8.0584	4.4	0.0071663	0.010528	4.7556	NaN	0.0019233	4.196	NaN	12.034	4.4465	0.0002733	0.00040151	3.602	NaN	0.00047858	4.6808	0.0025389	0.0033788	3.6848	NaN	0.00024292	4.4848	0.005841	0.0085805	4.3879	NaN	5.0089e-05	3.7939	NaN	8.8325	4.7495	NaN	5.4368e-05	3.6	2.2204e-14	NaN	3.7899	NaN	9.8807	4.4687	0.0030559	0.0044895	3.6909	NaN	NaN	4.7152	NaN	19.666	4.6404	NaN	0.0017432	3.7737	NaN	7.278	4.7475	NaN	NaN	4.4	0.0010226	0.0015023	4.4	0.00022902	0.00033646	4.7596	NaN	6.0104	4.7374	NaN	0.00036041	4.6141	2.2204e-14	NaN	4.202	NaN	0.00011934	4.1374	NaN	14.736	3.7293	2.2204e-14	NaN
4.9556	NaN	25.973	4.5414	2.2629e-14	NaN	5.5434	NaN	0.00075562	5.4545	NaN	NaN	4.998	1.9603e-13	NaN	5.1556	NaN	7.8901e-05	4.4889	2.2204e-14	NaN	4.5455	NaN	9.0376	4.8	NaN	0.0053326	5.5556	NaN	0.00089827	4.996	NaN	7.9685	4.8465	2.2204e-14	NaN	4.402	NaN	0.00031751	5.4808	0.00234	0.0024211	4.4848	NaN	0.00015644	4.8848	NaN	0.006143	5.1879	NaN	5.5828e-05	4.5939	7.5877e-14	NaN	5.5495	NaN	5.4685e-05	4.4	NaN	10.25	4.5899	NaN	6.3933	4.8687	NaN	8.3518e-05	4.4909	NaN	18.992	5.5152	NaN	2.2433e-05	5.4404	NaN	0.00073641	4.5737	NaN	6.3674	5.5475	NaN	0.0030149	4.8	NaN	8.9277	4.8	NaN	3.0453e-05	5.5596	2.2204e-14	NaN	5.5374	NaN	0.00071715	5.4141	NaN	1.8153	5.002	NaN	12.968	4.9374	NaN	0.0088767	4.5293	6.604e-14	NaN
