time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	
ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
1.3556	NaN	Inf	0.94141	NaN	Inf	1.5434	NaN	2661.1	1.4545	NaN	1154.6	1.398	NaN	Inf	1.5556	3013.8	607.79	0.88889	1500	NaN	0.94545	1500	NaN	1.2	3013.7	607.76	1.5556	NaN	33743	1.396	3013.6	607.76	1.2465	3013.9	607.81	0.80202	NaN	2688.9	1.4808	NaN	6542.2	0.88485	NaN	5220.1	1.2848	3013.8	607.79	1.5879	3013.7	607.77	0.99394	NaN	3899.8	1.5495	NaN	1536.5	0.8	NaN	Inf	0.9899	1500	NaN	1.2687	3013.8	607.79	0.89091	1500	NaN	1.5152	1500	NaN	1.4404	NaN	8784.1	0.97374	NaN	Inf	1.5475	NaN	Inf	1.2	3013.8	607.78	1.2	NaN	Inf	1.5596	1500	NaN	1.5374	1500	NaN	1.4141	NaN	5403.7	1.402	3013.8	607.79	1.3374	3013.9	607.82	0.92929	NaN	2138
1.7556	NaN	1.922e+10	1.7414	3013.7	607.77	1.9434	3013.9	607.8	1.8545	3013.6	607.76	1.398	NaN	Inf	1.5556	3013.8	607.79	1.6889	1500	NaN	1.7455	3013.7	607.77	1.6	NaN	2231.3	1.9556	3013.8	607.78	1.396	3013.6	607.76	1.6465	NaN	44128	1.602	3014	607.82	1.8808	3013.8	607.78	1.6848	3013.8	607.79	1.6848	NaN	22006	1.5879	3013.7	607.77	1.7939	NaN	Inf	1.9495	3013.7	607.77	1.6	3013.8	607.78	1.7899	3013.8	607.79	1.6687	NaN	11059	1.6909	3013.9	607.82	1.9152	1500	NaN	1.8404	3013.7	607.76	1.7737	3013.9	607.81	1.9475	NaN	Inf	1.6	1500	NaN	1.6	NaN	Inf	1.9596	1500	NaN	1.9374	NaN	Inf	1.8141	3013.8	607.78	1.402	3013.8	607.79	1.7374	1500	NaN	1.7293	1500	NaN
2.1556	3014	607.82	1.7414	3013.7	607.77	1.9434	3013.9	607.8	1.8545	3013.6	607.76	1.798	NaN	2695.5	1.9556	NaN	1155	1.6889	1500	NaN	1.7455	3013.7	607.77	2	3013.8	607.79	1.9556	3013.8	607.78	1.796	NaN	1308.7	2.0465	3013.8	607.79	1.602	3014	607.82	1.8808	3013.8	607.78	1.6848	3013.8	607.79	2.0848	3013.7	607.76	1.9879	NaN	24213	1.7939	NaN	Inf	1.9495	3013.7	607.77	1.6	3013.8	607.78	1.7899	3013.8	607.79	2.0687	3013.8	607.79	1.6909	3013.9	607.82	1.9152	1500	NaN	1.8404	3013.7	607.76	1.7737	3013.9	607.81	1.9475	NaN	Inf	2	3013.8	607.79	2	3013.8	607.8	1.9596	1500	NaN	1.9374	NaN	Inf	1.8141	3013.8	607.78	1.802	NaN	5850.4	2.1374	1500	NaN	1.7293	1500	NaN
2.1556	3014	607.82	1.7414	3013.7	607.77	1.9434	3013.9	607.8	2.2545	NaN	966.56	2.198	1500	NaN	2.3556	3013.6	607.75	1.6889	1500	NaN	1.7455	3013.7	607.77	2	3013.8	607.79	1.9556	3013.8	607.78	2.196	3013.7	607.77	2.0465	3013.8	607.79	2.002	NaN	27659	2.2808	NaN	4352.9	1.6848	3013.8	607.79	2.0848	3013.7	607.76	2.3879	3013.8	607.79	1.7939	NaN	Inf	1.9495	3013.7	607.77	2	NaN	9536	1.7899	3013.8	607.79	2.0687	3013.8	607.79	1.6909	3013.9	607.82	2.3152	NaN	Inf	2.2404	NaN	25625	1.7737	3013.9	607.81	1.9475	NaN	Inf	2	3013.8	607.79	2	3013.8	607.8	1.9596	1500	NaN	1.9374	NaN	Inf	2.2141	1500	NaN	2.202	3013.8	607.78	2.1374	1500	NaN	1.7293	1500	NaN
2.5556	1500	NaN	2.1414	NaN	Inf	2.3434	NaN	9060.4	2.6545	3013.9	607.8	2.598	1500	NaN	2.3556	3013.6	607.75	2.0889	1500	NaN	2.1455	NaN	5405.5	2.4	NaN	1794.3	2.3556	NaN	31873	2.596	NaN	7.5529e+10	2.4465	NaN	1.5155e+11	2.402	3013.9	607.81	2.6808	3013.5	607.73	2.0848	NaN	5458.2	2.4848	NaN	22963	2.3879	3013.8	607.79	2.1939	1500	NaN	2.3495	NaN	1576.3	2.4	3013.6	607.75	2.1899	NaN	33779	2.4687	NaN	Inf	2.0909	NaN	1505.6	2.7152	3013.9	607.8	2.6404	3013.9	607.8	2.1737	1500	NaN	2.3475	1500	NaN	2.4	NaN	1322.7	2.4	1500	NaN	2.3596	1500	NaN	2.3374	1500	NaN	2.6141	3013.7	607.77	2.602	NaN	18374	2.5374	NaN	26754	2.1293	NaN	7728.4
2.9556	NaN	Inf	2.5414	1500	NaN	2.7434	3013.7	607.77	3.0545	NaN	1958	2.998	1500	NaN	2.7556	NaN	1141	2.4889	3013.8	607.78	2.5455	3013.6	607.75	2.8	3013.8	607.8	2.7556	3014	607.83	2.996	NaN	Inf	2.8465	3013.5	607.74	2.402	3013.9	607.81	3.0808	NaN	3814.9	2.4848	3013.7	607.77	2.8848	3013.8	607.79	2.7879	NaN	6891.4	2.5939	3013.8	607.79	2.7495	3013.5	607.72	2.4	3013.6	607.75	2.5899	3013.7	607.76	2.8687	3013.7	607.77	2.4909	1500	NaN	2.7152	3013.9	607.8	3.0404	1500	NaN	2.5737	3014	607.83	2.7475	3013.9	607.81	2.8	NaN	Inf	2.8	NaN	1.6757e+11	2.7596	3013.7	607.77	2.7374	1500	NaN	3.0141	NaN	10166	3.002	3013.9	607.81	2.9374	1500	NaN	2.5293	3013.7	607.78
3.3556	NaN	5754.4	2.9414	1500	NaN	3.1434	NaN	5167.6	3.4545	3013.8	607.8	3.398	NaN	Inf	3.5556	NaN	1202.6	2.8889	NaN	Inf	2.9455	NaN	1269.1	3.2	NaN	2384.5	3.1556	NaN	5596.9	3.396	NaN	5981	3.2465	NaN	8.1868e+12	2.802	NaN	5532.5	3.4808	3014	607.82	2.8848	NaN	6589	3.2848	NaN	5425.3	3.1879	3014	607.82	2.9939	NaN	11802	3.1495	NaN	23094	2.8	NaN	Inf	2.9899	NaN	1990.1	3.2687	NaN	38209	2.8909	1500	NaN	3.1152	1500	NaN	3.4404	3013.8	607.8	2.9737	NaN	5436.6	3.1475	NaN	17201	3.2	NaN	1355.4	3.2	NaN	Inf	3.1596	1500	NaN	3.1374	1500	NaN	3.4141	3013.6	607.76	3.402	NaN	11112	3.3374	NaN	1178.3	2.9293	NaN	9460.3
3.7556	3014	607.83	3.3414	3013.7	607.76	3.9434	NaN	3146.6	3.8545	NaN	17530	3.798	NaN	Inf	3.9556	3013.7	607.77	3.2889	1500	NaN	3.3455	3013.7	607.77	4	NaN	2664.8	3.9556	NaN	5831.2	3.796	3013.9	607.81	4.0465	NaN	12284	3.202	3013.9	607.82	3.8808	NaN	2579.1	3.2848	3013.9	607.8	4.0848	NaN	4383.5	3.5879	NaN	15401	3.3939	3014	607.82	3.9495	NaN	25865	3.2	3013.8	607.79	3.3899	3013.7	607.76	4.0687	NaN	27316	3.2909	3013.8	607.79	3.9152	NaN	1.6356e+08	3.8404	NaN	23715	3.3737	3013.9	607.8	3.9475	NaN	1.3817e+12	4	NaN	38962	4	1500	NaN	3.9596	1500	NaN	3.9374	NaN	6706.6	3.8141	NaN	5614.1	3.802	3013.7	607.77	3.7374	3013.8	607.78	3.3293	3013.8	607.79
4.1556	NaN	Inf	3.7414	1500	NaN	4.7434	NaN	1557.2	4.6545	1500	NaN	4.198	1500	NaN	4.3556	NaN	20402	3.6889	NaN	Inf	3.7455	NaN	974.5	4.4	3013.7	607.77	4.7556	NaN	8605.3	4.196	NaN	1399.6	4.4465	3013.7	607.78	3.602	NaN	5395.1	4.6808	5443.9	1530.9	3.6848	NaN	13560	4.4848	3014	607.82	4.3879	NaN	27998	3.7939	NaN	2050.3	4.7495	NaN	26816	3.6	1500	NaN	3.7899	NaN	1233.8	4.4687	3013.7	607.77	3.6909	NaN	4.69e+11	4.7152	NaN	2683.7	4.6404	NaN	4583.6	3.7737	NaN	1068.8	4.7475	NaN	Inf	4.4	3013.8	607.78	4.4	3013.7	607.77	4.7596	NaN	3907.8	4.7374	NaN	15954	4.6141	1500	NaN	4.202	NaN	31272	4.1374	NaN	1808.6	3.7293	1500	NaN
4.9556	NaN	14775	4.5414	1500	NaN	5.5434	NaN	5058.8	5.4545	NaN	Inf	4.998	1500	NaN	5.1556	NaN	21545	4.4889	1500	NaN	4.5455	NaN	1047.9	4.8	NaN	2704	5.5556	NaN	10142	4.996	NaN	3497.3	4.8465	1500	NaN	4.402	NaN	6175.8	5.4808	6290.5	1534.6	4.4848	NaN	11264	4.8848	NaN	3988.4	5.1879	NaN	31860	4.5939	1500	NaN	5.5495	NaN	26416	4.4	NaN	4787.2	4.5899	NaN	812.17	4.8687	NaN	23034	4.4909	NaN	3922.3	5.5152	NaN	31996	5.4404	NaN	4542.4	4.5737	NaN	950.2	5.5475	NaN	10928	4.8	NaN	2490.6	4.8	NaN	37416	5.5596	1500	NaN	5.5374	NaN	6546.4	5.4141	NaN	1879.8	5.002	NaN	1949.4	4.9374	NaN	5109.5	4.5293	1500	NaN
