time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	
ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	
3.tdms	 3.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	
1.3556	-0.73085	0.94141	7.3267	1.5434	14.545	1.4545	8.1199	1.398	-6.7297	1.5556	5.9201	0.88889	2.25	0.94545	0.096714	1.2	36.561	1.5556	34.603	1.396	2.8307	1.2465	12.788	0.80202	42.876	1.4808	236.3	0.88485	3.034	1.2848	45.382	1.5879	37.171	0.99394	4.4936	1.5495	30.587	0.8	4.7408	0.9899	-7.7167	1.2687	20.645	0.89091	-16.093	1.5152	6.0022	1.4404	22.246	0.97374	1.9123	1.5475	-9.1701	1.2	14.38	1.2	-7.6885	1.5596	-1.8517	1.5374	-4.6749	1.4141	1.5055	1.402	8.3456	1.3374	18.469	0.92929	4.9279
1.7556	10.949	1.7414	5.6212	1.9434	23.058	1.8545	11.025	1.398	-6.7297	1.5556	5.9201	1.6889	-3.5172	1.7455	5.5633	1.6	39.774	1.9556	46.154	1.396	2.8307	1.6465	7.0918	1.602	34.808	1.8808	319.51	1.6848	6.4778	1.6848	44.521	1.5879	37.171	1.7939	-7.1601	1.9495	11.561	1.6	8.491	1.7899	1.8867	1.6687	18.93	1.6909	10.122	1.9152	-2.4019	1.8404	26.613	1.7737	27.666	1.9475	-7.1278	1.6	4.7775	1.6	0.0017614	1.9596	-1.8134	1.9374	-12.085	1.8141	13.991	1.402	8.3456	1.7374	5.9845	1.7293	-0.97911
2.1556	30.906	1.7414	5.6212	1.9434	23.058	1.8545	11.025	1.798	-2.9066	1.9556	17.859	1.6889	-3.5172	1.7455	5.5633	2	40.986	1.9556	46.154	1.796	5.0743	2.0465	12.091	1.602	34.808	1.8808	319.51	1.6848	6.4778	2.0848	56.146	1.9879	26.927	1.7939	-7.1601	1.9495	11.561	1.6	8.491	1.7899	1.8867	2.0687	41.01	1.6909	10.122	1.9152	-2.4019	1.8404	26.613	1.7737	27.666	1.9475	-7.1278	2	4.9993	2	12.304	1.9596	-1.8134	1.9374	-12.085	1.8141	13.991	1.802	11.108	2.1374	-0.098112	1.7293	-0.97911
2.1556	30.906	1.7414	5.6212	1.9434	23.058	2.2545	13.123	2.198	-2.5721	2.3556	25.237	1.6889	-3.5172	1.7455	5.5633	2	40.986	1.9556	46.154	2.196	3.4765	2.0465	12.091	2.002	28.507	2.2808	285.62	1.6848	6.4778	2.0848	56.146	2.3879	10.288	1.7939	-7.1601	1.9495	11.561	2	3.3949	1.7899	1.8867	2.0687	41.01	1.6909	10.122	2.3152	-2.0769	2.2404	15.998	1.7737	27.666	1.9475	-7.1278	2	4.9993	2	12.304	1.9596	-1.8134	1.9374	-12.085	2.2141	10.98	2.202	14.383	2.1374	-0.098112	1.7293	-0.97911
2.5556	9.6777	2.1414	-1.721	2.3434	31.779	2.6545	7.5036	2.598	-5.8141	2.3556	25.237	2.0889	-2.1932	2.1455	3.4327	2.4	56.41	2.3556	26.437	2.596	-3.8607	2.4465	5.2739	2.402	43.888	2.6808	367.92	2.0848	15.233	2.4848	45.494	2.3879	10.288	2.1939	-1.9947	2.3495	14.54	2.4	2.5512	2.1899	0.97913	2.4687	26.552	2.0909	6.4168	2.7152	4.7764	2.6404	12.526	2.1737	18.198	2.3475	-1.6044	2.4	1.9367	2.4	0.11483	2.3596	-5.4645	2.3374	-7.7932	2.6141	21.756	2.602	13.658	2.5374	-0.86262	2.1293	4.2911
2.9556	-11.71	2.5414	-3.7613	2.7434	51.77	3.0545	18.311	2.998	-3.5717	2.7556	18.972	2.4889	6.3228	2.5455	3.1326	2.8	68.212	2.7556	31.634	2.996	-7.1312	2.8465	8.7523	2.402	43.888	3.0808	407.29	2.4848	21.775	2.8848	35.326	2.7879	19.27	2.5939	3.8232	2.7495	15.836	2.4	2.5512	2.5899	0.48761	2.8687	46.955	2.4909	-1.8252	2.7152	4.7764	3.0404	9.9762	2.5737	35.22	2.7475	7.8926	2.8	-6.6925	2.8	-5.987	2.7596	4.3463	2.7374	-6.8698	3.0141	16.813	3.002	20.3	2.9374	-1.0856	2.5293	5.7184
3.3556	8.9651	2.9414	-3.9767	3.1434	45.018	3.4545	28.703	3.398	-6.5724	3.5556	16.55	2.8889	2.9018	2.9455	10.286	3.2	72.842	3.1556	39.003	3.396	-2.7389	3.2465	-1.0693	2.802	51.288	3.4808	581.71	2.8848	40.019	3.2848	28.277	3.1879	22.207	2.9939	6.3255	3.1495	13.403	2.8	-0.36381	2.9899	5.9101	3.2687	36.705	2.8909	-0.88951	3.1152	2.9492	3.4404	19.825	2.9737	38.164	3.1475	8.3554	3.2	0.66965	3.2	-7.0326	3.1596	-1.2158	3.1374	-1.3666	3.4141	24.415	3.402	26.145	3.3374	4.7937	2.9293	4.7228
3.7556	22.227	3.3414	0.55392	3.9434	41.271	3.8545	18.965	3.798	-5.1422	3.9556	19.584	3.2889	-0.28095	3.3455	11.562	4	91.48	3.9556	89.329	3.796	2.0345	4.0465	-1.8629	3.202	87.092	3.8808	663.8	3.2848	64.475	4.0848	55.817	3.5879	24.375	3.3939	7.9577	3.9495	26.02	3.2	1.7412	3.3899	5.4111	4.0687	41	3.2909	2.4749	3.9152	8.536	3.8404	61.76	3.3737	44.536	3.9475	11.305	4	7.2183	4	-1.5475	3.9596	-1.2638	3.9374	11.646	3.8141	13.881	3.802	42.194	3.7374	3.3623	3.3293	0.54212
4.1556	-5.5323	3.7414	-6.4024	4.7434	30.014	4.6545	3.6403	4.198	-6.958	4.3556	30.936	3.6889	1.4139	3.7455	14.18	4.4	124.15	4.7556	118.93	4.196	-1.799	4.4465	4.7351	3.602	63.434	4.6808	1181.4	3.6848	69.738	4.4848	101.26	4.3879	19.888	3.7939	6.3684	4.7495	32.756	3.6	-1.7309	3.7899	16.103	4.4687	52.94	3.6909	17.554	4.7152	11.378	4.6404	110.01	3.7737	55.313	4.7475	9.5883	4.4	17.718	4.4	3.9676	4.7596	-7.6445	4.7374	27.005	4.6141	0.4865	4.202	58.428	4.1374	12.52	3.7293	-4.9658
4.9556	-11.027	4.5414	-5.9363	5.5434	24.937	5.4545	-2.9443	4.998	-5.0529	5.1556	48.221	4.4889	8.3507	4.5455	10.743	4.8	93.991	5.5556	92.673	4.996	-7.046	4.8465	1.6839	4.402	55.877	5.4808	2112.4	4.4848	92.909	4.8848	112.73	5.1879	23.987	4.5939	-8.1699	5.5495	27.161	4.4	-5.4757	4.5899	25.939	4.8687	51.009	4.4909	34.198	5.5152	6.9142	5.4404	129.5	4.5737	58.326	5.5475	20.092	4.8	7.3802	4.8	8.0353	5.5596	-8.6097	5.5374	68.402	5.4141	14.972	5.002	93.656	4.9374	13.655	4.5293	-9.3262
